country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jordan,JOR,2.8005,2.7249,2.6508,2.5786,2.5085,2.4404,2.3741,2.3093,2.2459,2.184,2.1235,2.0647,2.0076,1.9524,1.899,1.8473
Saint Vincent and the Grenadines,VCT,2.6714,2.6706,2.6567,2.6282,2.5843,2.5268,2.4598,2.3897,2.3219,2.259,2.2027,2.1529,2.1075,2.0647,2.024,1.985
El Salvador,SLV,3.0562,2.9248,2.8155,2.7243,2.6446,2.57,2.4958,2.421,2.3448,2.2655,2.1833,2.0999,2.0188,1.9422,1.8706,1.8037
Tonga,TON,2.9147,2.8761,2.8378,2.7998,2.7623,2.7251,2.6883,2.6518,2.6155,2.5793,2.5432,2.5071,2.4711,2.4353,2.3995,2.364
Colombia,COL,3.0741,2.9925,2.9182,2.854,2.7998,2.7553,2.7196,2.6899,2.6628,2.6359,2.606,2.5705,2.5284,2.4796,2.424,2.3625
Palestine,PSE,3.1281,3.0544,2.9863,2.9216,2.8584,2.7955,2.7324,2.67,2.6087,2.5484,2.4889,2.4304,2.373,2.3169,2.2621,2.2087
Iran,IRN,3.4765,3.2835,3.0952,2.9143,2.7421,2.5799,2.4291,2.2898,2.1618,2.045,1.9393,1.8441,1.7583,1.6801,1.6085,1.5423
Armenia,ARM,3.4809,3.2885,3.1159,2.9584,2.8139,2.677,2.541,2.4017,2.2573,2.1089,1.9614,1.8225,1.6994,1.5971,1.5164,1.4557
Samoa,WSM,3.3711,3.2579,3.1469,3.0363,2.9253,2.8139,2.7031,2.5956,2.4937,2.3987,2.3119,2.2347,2.1666,2.1071,2.0554,2.0103
Cape Verde,CPV,3.7111,3.4156,3.1682,2.9781,2.8475,2.7727,2.7428,2.7382,2.741,2.7409,2.7297,2.7034,2.6654,2.6188,2.5637,2.5013
China,CHN,3.6696,3.4236,3.1732,2.9246,2.6837,2.4557,2.2443,2.0503,1.8748,1.7195,1.5866,1.4774,1.3897,1.3203,1.2664,1.2247
Libya,LBY,3.3481,3.2858,3.2196,3.1513,3.0823,3.0174,2.963,2.9228,2.8974,2.8847,2.8782,2.8693,2.8499,2.8148,2.7627,2.6954
Suriname,SUR,3.437,3.3346,3.2492,3.1793,3.1213,3.0677,3.0091,2.9385,2.8521,2.7499,2.6363,2.5188,2.407,2.308,2.2245,2.1569
Georgia,GEO,3.5945,3.4326,3.2708,3.1027,2.9273,2.7424,2.5459,2.3408,2.1321,1.9257,1.7306,1.5567,1.41,1.2937,1.2081,1.1503
Vietnam,VNM,3.5107,3.3983,3.2938,3.1948,3.1004,3.01,2.9232,2.8398,2.7593,2.6813,2.6051,2.5303,2.4569,2.3851,2.3149,2.2467
Nicaragua,NIC,3.686,3.48,3.3106,3.1769,3.0739,2.9931,2.9243,2.8578,2.786,2.7044,2.6123,2.5126,2.4123,2.3166,2.227,2.1434
Maldives,MDV,4.3886,3.9069,3.4546,3.0389,2.6649,2.3364,2.0542,1.8131,1.6071,1.4329,1.2871,1.1672,1.0699,0.9909,0.9258,0.871
Brazil,BRA,3.7584,3.6163,3.4615,3.2938,3.1144,2.9271,2.738,2.555,2.3849,2.2313,2.0966,1.9811,1.8813,1.7938,1.7171,1.65
Turkey,TUR,4.0999,3.791,3.5054,3.2386,2.9903,2.7632,2.5615,2.3879,2.2423,2.1222,2.0229,1.9386,1.8629,1.7906,1.7183,1.6449
Ecuador,ECU,3.8833,3.7131,3.5522,3.4023,3.2638,3.1374,3.024,2.9232,2.8339,2.7548,2.6843,2.6209,2.5628,2.5078,2.454,2.3994
Trinidad and Tobago,TTO,3.6382,3.6467,3.6395,3.6166,3.5784,3.5272,3.4669,3.4027,3.339,3.2783,3.2218,3.1692,3.1185,3.0678,3.0167,2.9647
Philippines,PHL,3.9457,3.8497,3.7573,3.6672,3.5791,3.4927,3.4083,3.3262,3.2464,3.1688,3.0928,3.0179,2.9437,2.8701,2.7974,2.7261
Egypt,EGY,4.1708,3.9705,3.8099,3.6634,3.5194,3.371,3.2182,3.0693,2.93,2.8001,2.6789,2.5657,2.4597,2.3604,2.2671,2.18
Dominican Republic,DOM,4.2175,4.064,3.9164,3.7786,3.6511,3.5333,3.4236,3.3195,3.2192,3.1221,3.0282,2.9385,2.8542,2.7756,2.7023,2.6336
Kazakhstan,KAZ,4.6591,4.3524,4.048,3.7573,3.4871,3.2384,3.0074,2.7862,2.5705,2.3619,2.1654,1.988,1.835,1.7092,1.6101,1.535
Peru,PER,4.8219,4.4906,4.1944,3.9368,3.719,3.5414,3.4015,3.2911,3.2012,3.125,3.0556,2.9874,2.9177,2.8446,2.7654,2.6794
Iraq,IRQ,4.3894,4.2915,4.1957,4.1091,4.0345,3.975,3.9318,3.9011,3.8779,3.8578,3.8342,3.7999,3.7505,3.684,3.6003,3.5017
Paraguay,PRY,4.5423,4.4256,4.3158,4.214,4.1204,4.0335,3.951,3.8705,3.7908,3.7122,3.6371,3.569,3.5105,3.4627,3.4245,3.3935
Vanuatu,VUT,4.7529,4.5384,4.3376,4.1498,3.9744,3.811,3.6589,3.5175,3.3857,3.2626,3.1478,3.041,2.9421,2.8507,2.7658,2.6867
North Korea,PRK,6.0205,5.2201,4.4816,3.8991,3.5095,3.308,3.2461,3.2318,3.1928,3.1056,2.9631,2.7775,2.582,2.4028,2.2462,2.1145
Honduras,HND,4.6505,4.5606,4.4876,4.4278,4.378,4.3351,4.2972,4.2625,4.2283,4.1913,4.1479,4.0951,4.0324,3.9599,3.878,3.7876
Kyrgyzstan,KGZ,5.0883,4.8129,4.5581,4.3245,4.1109,3.9099,3.7106,3.5042,3.2869,3.0607,2.8342,2.62,2.4304,2.2739,2.1522,2.0633
